Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
TheCollegeFever,2018,2017.0,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,666121.76,"Bengaluru, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,831583.0358339349,1100154.6678197703,1329723.6964244146,1361858.4556248896,1215409.7608313784,1286078.999255379
Happy Cow Dairy,2018,2017.0,"Agriculture, Farming",Seed,1516133.45,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,2234514.3445473067,1980782.6464296365,2478761.7497422397,2595647.3852205374,2830022.1521052574,2846342.848654339
MyLoanCare,2018,2017.0,"Credit, Financial Services, Lending, Marketplace",Series A,1327367.44,"Gurugram, Haryana, India",Leading Online Loans Marketplace in India,Unknown,2055383.224225001,1868036.700364593,2430563.160872061,2149584.1930911625,2423697.1954971184,2920632.933446532
PayMe India,2018,2017.0,"Financial Services, FinTech",Angel,1495388.4,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown,2310287.0545790875,2338530.8814054215,2372145.45584685,2934111.669730458,2822814.4208229743,3314852.843920474
Hasura,2018,2017.0,"Cloud Infrastructure, PaaS, SaaS",Seed,770937.11,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,959648.463408584,1076276.4698258876,1080660.6549327811,1340116.87738785,1693860.682420285,1759890.2265948774
Tripshelf,2018,2017.0,"Internet, Leisure, Marketplace",Seed,1905169.55,"Kalkaji, New Delhi, India",Tripshelf is an online market place for holiday packages.,Unknown,2861157.718832467,3479009.6017664196,3669873.1361834197,3091393.189409418,3105639.975403316,3609181.6757673174
Hyperdata.IO,2018,2017.0,Market Research,Angel,533081.59,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,Unknown,533400.7641229712,858953.1670901132,820588.9181984161,1055170.8521090518,1106164.856067015,1235455.270016949
Freightwalla,2018,2017.0,"Information Services, Information Technology",Seed,1218945.18,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,1936984.915608606,2199922.346786166,1911282.5226069686,1909814.2032314725,2585358.6774381828,2455755.1209252127
Microchip Payments,2018,2017.0,Mobile Payments,Seed,1207754.57,"Bengaluru, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,Unknown,1671248.607450557,2285632.6261914447,2352510.3202253375,2497309.249145031,2308741.349285188,2531822.654480847
BizCrum Infotech Pvt. Ltd.,2018,2017.0,"B2B, Shoes",Seed,1909719.85,"New Delhi, New Delhi, India",Building Transactionary B2B Marketplaces,Unknown,3066808.34403568,2766259.6523628677,3274731.4260824122,2922824.8022562815,4121765.9494260065,3980925.042715478
Emojifi,2018,2017.0,Internet,Seed,957593.68,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Unknown,1464754.1304439208,1765546.4164200136,1706842.4145839794,1508635.324662254,1732165.661057022,1907450.4268276799
Flock,2018,2017.0,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,1580784.09,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,1995733.601578242,2538785.993910477,2595659.628026603,2666569.16281154,3082548.5698129307,3940954.565580831
Freshboxx,2018,2017.0,Food Delivery,Seed,957823.24,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Unknown,1416085.4656023649,1604446.4788047257,1384235.8488502915,1730365.437224073,2009449.017524766,2360627.8292738567
Wide Mobility Mechatronics,2018,2017.0,Industrial Automation,Seed,1126407.39,"Bengaluru, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,Unknown,1742825.6040114034,1866024.9314238518,2198245.8869391596,2235546.9377319673,2058118.0144716194,2631779.9894356807
Pitstop,2018,2017.0,"Automotive, Search Engine, Service Industry",Seed,1955709.29,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,2668295.367312762,3417294.8947196384,3675281.5103776567,3499640.06188096,4209716.203824025,4090226.138624835
Mihuru,2018,2017.0,"Finance, Internet, Travel",Seed,546448.05,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,Unknown,737695.0268805692,763448.4688119597,1008012.363737412,981219.3664852629,1144841.8205545768,1033323.0729227923
Fyle,2018,2017.0,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1374787.01,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,Unknown,1951145.854345858,2292974.448524775,2298788.9774158383,2523796.280555269,2750698.042869865,3254365.170712682
AppWharf,2018,2017.0,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,1053584.18,"New New Delhi, New Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Unknown,1131990.345010017,1862849.5532737211,1819278.9510741644,2135663.415272566,1935718.4996110005,2219352.2226309394
Antariksh Waste Ventures Pvt ltd,2018,2017.0,"Internet of Things, Waste Management",Seed,1446242.58,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,Unknown,2201922.444317469,1900061.4733675076,2864522.9272071845,2258692.4159074696,2719244.369027044,3112744.3480760315
PaisaDukan,2018,2017.0,Financial Services,Seed,1957258.3,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,Unknown,2602725.849976454,2945571.1585996267,2793542.0594064537,3054634.15741681,3413939.4713999215,4221792.248144802
Sleepy Owl Coffee,2018,2017.0,Food and Beverage,Seed,581646.38,"New New Delhi, New Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,624982.54570329,952763.1434642653,892770.4485285323,1017583.2294608541,1065468.726936794,1392283.5542457928
